videoId,timecode,author,tags,description,previewImageOffset,previewVideoOffset,previewDuration
DRc7ISfv6GA,655,Joyca,text,,1,,
DRc7ISfv6GA,660,Joyca,jingle,,,,
cTsONdoPgiU,427,Amixem,transition,,,,
JJcKDAMb27k,1075,Amixem,carte,,,0.5,
wrFsapf0Enk,3036,Inoxtag,text,,2,,
ZRJo0yJWdfY,1653,Inoxtag,carte,,2,,
CVMeLYKPVfE,139,Inoxtag,text,,1,,
CVMeLYKPVfE,172,Inoxtag,carte,,2,,
CVMeLYKPVfE,193,Inoxtag,carte,,,1,5
CVMeLYKPVfE,257,Inoxtag,text,,,0.1,
LFo1Qtn9MlM,3,Antoine BM,text|icons,,,,
LFo1Qtn9MlM,24,Antoine BM,text|fullscreen,,,,
LFo1Qtn9MlM,60,Antoine BM,video|fullscreen,,,,
LFo1Qtn9MlM,325,Antoine BM,screenshot,,,,
8DlLSWhbTQ4,124.6,Amixem,jingle,,,,
8DlLSWhbTQ4,136,Amixem,split screen,,,,
JDuN5FJCJDw,93,CyrilMP4,generique
JDuN5FJCJDw,144,CyrilMP4,carte,,0.5
JDuN5FJCJDw,215,CyrilMP4,text
JDuN5FJCJDw,250,CyrilMP4,text
